2, 屏 居 藍 田 ， 薄 地 躬 耕
2, 歲 晏 輸 稅 ， 以 奉 粢 盛
2, 晨 往 東 皋 ， 草 露 未 晞
2, 暮 看 煙 火 ， 負 擔 來 歸
2, 我 聞 有 客 ， 足 掃 荊 扉
2, 簞 食 伊 何 ， 疈 瓜 抓 棗
2, 仰 廁 群 賢 ， 皤 然 一 老
2, 愧 無 莞 簟 ， 班 荊 席 槁
2, 泛 泛 登 陂 ， 折 彼 荷 花
2, 山 鳥 群 飛 ， 日 隱 輕 霞
2, 登 車 上 馬 ， 倏 忽 雲 散
2, 雀 噪 荒 村 ， 雞 鳴 空 館
2, 還 複 幽 獨 ， 重 欷 累 歎
2, 鳳 扆 朝 碧 落 ， 龍 圖 耀 金 鏡
2, 維 岳 降 二 臣 ， 戴 天 臨 萬 姓
2, 山 川 八 校 滿 ， 井 邑 三 農 竟
2, 比 屋 皆 可 封 ， 誰 家 不 相 慶
2, 林 疏 遠 村 出 ， 野 曠 寒 山 靜
2, 佳 氣 含 風 景 ， 頌 聲 溢 歌 詠
2, 端 拱 能 任 賢 ， 彌 彰 聖 君 聖
2, 複 道 通 長 樂 ， 青 門 臨 上 路
2, 遙 聞 鳳 吹 喧 ， 闇 識 龍 輿 度
2, 褰 旒 明 四 目 ， 伏 檻 紆 三 顧
2, 小 苑 接 侯 家 ， 飛 甍 映 宮 樹
2, 商 山 原 上 碧 ， 滻 水 林 端 素
2, 銀 漢 下 天 章 ， 瓊 筵 承 湛 露
2, 將 非 富 人 寵 ， 信 以 平 戎 故
2, 上 卿 增 命 服 ， 都 護 揚 歸 旆
2, 雜 虜 盡 朝 周 ， 諸 胡 皆 自 鄶
2, 鳴 笳 瀚 海 曲 ， 按 節 陽 關 外
2, 落 日 下 河 源 ， 寒 山 靜 秋 塞
2, 萬 方 氛 祲 息 ， 六 合 乾 坤 大
2, 無 戰 是 天 心 ， 天 心 同 覆 載
2, 翠 羽 流 蘇 帳 ， 春 眠 曙 不 開
2, 羞 從 面 色 起 ， 嬌 逐 語 聲 來
2, 早 向 昭 陽 殿 ， 君 王 中 使 催
2, 齊 歌 盧 女 曲 ， 雙 舞 洛 陽 人
2, 傾 國 徒 相 看 ， 寧 知 心 所 親
2, 香 氣 傳 空 滿 ， 妝 華 影 箔 通
2, 歌 聞 天 仗 外 ， 舞 出 禦 樓 中
2, 日 暮 歸 何 處 ， 花 間 長 樂 宮
2, 宮 女 還 金 屋 ， 將 眠 複 畏 明
2, 入 春 輕 衣 好 ， 半 夜 薄 妝 成
2, 拂 曙 朝 前 殿 ， 玉 墀 多 佩 聲
2, 朝 日 照 綺 窗 ， 佳 人 坐 臨 鏡
